_date_	_open_	_high_	_low_	_close_	_per_	_vol_
2020-01-06 18:40	255.40	255.97	255.31	255.96	5	284470
2020-01-06 18:45	255.96	256.49	255.96	256.30	5	447920
2020-01-06 18:50	256.30	256.94	256.28	256.93	5	577290
2020-01-06 18:55	256.93	257.00	256.60	256.86	5	194600
2020-01-07 10:00	256.88	257.32	256.84	257.08	5	337360
2020-01-07 10:05	257.07	257.20	256.70	256.86	5	331160
2020-01-07 10:10	256.86	257.12	256.61	256.83	5	256630
2020-01-07 10:15	256.83	256.84	256.19	256.55	5	156850
2020-01-07 10:20	256.50	256.53	255.80	256.00	5	577470
2020-01-07 10:25	255.96	256.25	255.95	256.20	5	173980
2020-01-07 10:30	256.17	256.40	255.94	256.07	5	389490
2020-01-07 10:35	255.99	256.17	255.40	256.14	5	696300
2020-01-07 10:40	256.12	256.12	255.72	256.00	5	201170
2020-01-07 10:45	255.94	256.10	255.65	255.68	5	270360
2020-01-07 10:50	255.65	255.74	255.38	255.70	5	531560
2020-01-07 10:55	255.69	255.78	255.57	255.75	5	127310
2020-01-07 11:00	255.74	255.91	255.61	255.90	5	144280
2020-01-07 11:05	255.89	255.93	255.66	255.78	5	116550
2020-01-07 11:10	255.76	256.07	255.58	255.96	5	162840
2020-01-07 11:15	255.96	255.99	255.76	255.88	5	65100
2020-01-07 11:20	255.81	255.87	255.59	255.61	5	245030
2020-01-07 11:25	255.64	255.70	255.30	255.51	5	566460
2020-01-07 11:30	255.39	255.72	255.16	255.55	5	659700
2020-01-07 11:35	255.55	255.95	255.53	255.76	5	239400
2020-01-07 11:40	255.76	256.08	255.47	255.54	5	290020
2020-01-07 11:45	255.54	255.64	255.41	255.50	5	449780
2020-01-07 11:50	255.50	255.53	255.41	255.50	5	187980
2020-01-07 11:55	255.50	255.51	255.34	255.35	5	179260
2020-01-07 12:00	255.35	255.43	255.22	255.42	5	190100
2020-01-07 12:05	255.38	255.55	255.37	255.55	5	87460
2020-01-07 12:10	255.55	255.61	255.50	255.59	5	158680
2020-01-07 12:15	255.57	255.57	255.27	255.34	5	323730
2020-01-07 12:20	255.34	255.40	255.26	255.33	5	182610
2020-01-07 12:25	255.34	255.46	255.21	255.26	5	344730
2020-01-07 12:30	255.26	255.66	255.18	255.55	5	364620
2020-01-07 12:35	255.54	255.67	255.27	255.40	5	194710
2020-01-07 12:40	255.42	255.75	255.29	255.48	5	125910
2020-01-07 12:45	255.47	255.50	255.31	255.47	5	150640
2020-01-07 12:50	255.41	255.56	255.36	255.50	5	85320
2020-01-07 12:55	255.45	255.71	255.34	255.57	5	130350
2020-01-07 13:00	255.59	255.75	255.51	255.63	5	62460
2020-01-07 13:05	255.65	255.78	255.65	255.69	5	62570
2020-01-07 13:10	255.67	255.86	255.55	255.62	5	136850
2020-01-07 13:15	255.62	256.11	255.53	255.67	5	358150
2020-01-07 13:20	255.67	255.67	255.46	255.50	5	122440
2020-01-07 13:25	255.50	255.62	255.46	255.59	5	49570
2020-01-07 13:30	255.61	255.70	255.50	255.60	5	208690
2020-01-07 13:35	255.58	255.68	255.40	255.53	5	211170
2020-01-07 13:40	255.54	255.63	255.37	255.45	5	124570
2020-01-07 13:45	255.46	255.55	255.40	255.42	5	52720
2020-01-07 13:50	255.41	255.58	255.40	255.44	5	105050
2020-01-07 13:55	255.44	255.48	255.32	255.38	5	139620
2020-01-07 14:00	255.38	255.52	255.25	255.32	5	467680
2020-01-07 14:05	255.32	255.37	255.18	255.26	5	597200
2020-01-07 14:10	255.26	255.32	255.16	255.24	5	260800
2020-01-07 14:15	255.24	255.34	255.13	255.21	5	176010
2020-01-07 14:20	255.21	255.25	255.13	255.15	5	243700
2020-01-07 14:25	255.16	255.25	255.04	255.10	5	390450
2020-01-07 14:30	255.13	255.22	255.06	255.16	5	99670
2020-01-07 14:35	255.12	255.36	255.07	255.30	5	94930
2020-01-07 14:40	255.29	255.30	255.08	255.20	5	83990
2020-01-07 14:45	255.20	255.26	255.14	255.21	5	37390
2020-01-07 14:50	255.21	255.24	255.13	255.16	5	81280
2020-01-07 14:55	255.16	255.30	255.10	255.20	5	92610
2020-01-07 15:00	255.24	255.36	255.13	255.18	5	49380
2020-01-07 15:05	255.20	255.24	255.10	255.19	5	156780
2020-01-07 15:10	255.22	255.58	255.19	255.52	5	296490
2020-01-07 15:15	255.51	255.73	255.31	255.31	5	284990
2020-01-07 15:20	255.30	255.45	255.24	255.31	5	85770
2020-01-07 15:25	255.31	255.38	255.23	255.29	5	61050
2020-01-07 15:30	255.29	255.29	255.08	255.17	5	195960
2020-01-07 15:35	255.14	255.41	255.10	255.35	5	86330
2020-01-07 15:40	255.34	255.48	255.30	255.41	5	61030
2020-01-07 15:45	255.41	255.60	255.40	255.54	5	84210
2020-01-07 15:50	255.53	255.53	255.15	255.26	5	224500
2020-01-07 15:55	255.26	255.52	255.26	255.49	5	60120
2020-01-07 16:00	255.50	255.60	255.39	255.53	5	105450
2020-01-07 16:05	255.52	255.59	255.44	255.52	5	94270
2020-01-07 16:10	255.50	255.53	255.43	255.49	5	111100
2020-01-07 16:15	255.49	255.52	255.08	255.19	5	537580
2020-01-07 16:20	255.18	255.23	255.14	255.18	5	120290
2020-01-07 16:25	255.18	255.35	255.16	255.32	5	116280
2020-01-07 16:30	255.32	255.55	255.17	255.24	5	337530
2020-01-07 16:35	255.23	255.50	255.20	255.34	5	262580
2020-01-07 16:40	255.35	255.48	255.35	255.38	5	110830
2020-01-07 16:45	255.36	255.41	255.30	255.36	5	110080
2020-01-07 16:50	255.34	255.80	255.33	255.79	5	307370
2020-01-07 16:55	255.76	255.95	255.75	255.83	5	360470
2020-01-07 17:00	255.83	255.90	255.63	255.80	5	250980
2020-01-07 17:05	255.73	255.80	255.66	255.80	5	117500
2020-01-07 17:10	255.77	255.80	255.54	255.66	5	136090
2020-01-07 17:15	255.61	255.69	255.27	255.41	5	289670
2020-01-07 17:20	255.45	255.49	255.37	255.49	5	96190
2020-01-07 17:25	255.49	255.79	255.49	255.59	5	166540
2020-01-07 17:30	255.59	255.59	255.34	255.45	5	123740
2020-01-07 17:35	255.45	255.53	255.34	255.46	5	133760
2020-01-07 17:40	255.44	255.55	255.39	255.52	5	115380
2020-01-07 17:45	255.51	255.56	255.31	255.35	5	140030
2020-01-07 17:50	255.40	255.55	255.36	255.46	5	181870
2020-01-07 17:55	255.49	255.54	255.38	255.39	5	203050
2020-01-07 18:00	255.37	255.44	255.25	255.32	5	349240
2020-01-07 18:05	255.33	255.39	255.26	255.30	5	351850
2020-01-07 18:10	255.79	255.79	255.79	255.79	5	2053290
2020-01-07 18:15	255.66	256.10	255.33	255.93	5	603680
2020-01-07 18:20	255.93	256.17	255.75	256.07	5	345990
2020-01-07 18:25	256.07	256.40	256.04	256.38	5	353140
2020-01-07 18:30	256.38	256.68	256.32	256.44	5	487230
2020-01-07 18:35	256.55	256.60	256.25	256.49	5	137400
2020-01-07 18:40	256.48	256.62	256.33	256.55	5	217200
2020-01-07 18:45	256.52	256.56	256.19	256.34	5	189270
2020-01-07 18:50	256.34	256.46	256.22	256.38	5	138730
2020-01-07 18:55	256.36	256.40	256.01	256.01	5	139280
2020-01-08 10:00	256.01	256.25	255.87	256.15	5	292500
2020-01-08 10:05	256.14	256.19	255.87	255.95	5	137960
2020-01-08 10:10	255.95	256.20	255.87	256.20	5	188210
2020-01-08 10:15	256.20	256.20	255.11	255.48	5	802390
2020-01-08 10:20	255.50	255.80	254.20	254.25	5	1616750
2020-01-08 10:25	254.21	254.37	253.80	254.25	5	1195270
2020-01-08 10:30	254.25	254.53	254.10	254.10	5	348680
2020-01-08 10:35	254.09	254.33	253.90	254.11	5	440840
2020-01-08 10:40	254.12	254.15	253.85	254.00	5	376450
2020-01-08 10:45	254.07	254.43	253.85	254.37	5	468900
2020-01-08 10:50	254.31	254.50	254.05	254.19	5	175520
2020-01-08 10:55	254.13	254.30	254.00	254.11	5	279320
2020-01-08 11:00	254.15	254.15	253.81	253.96	5	372350
2020-01-08 11:05	253.96	254.21	253.93	254.02	5	289870
2020-01-08 11:10	254.07	254.15	253.94	254.01	5	203670
2020-01-08 11:15	254.01	254.10	253.92	253.96	5	146620
2020-01-08 11:20	253.96	254.12	253.89	254.06	5	316380
2020-01-08 11:25	254.02	254.10	253.94	254.03	5	108230
2020-01-08 11:30	254.03	254.10	253.40	253.40	5	897050
2020-01-08 11:35	253.40	253.46	252.85	252.85	5	863000
2020-01-08 11:40	252.86	252.90	251.82	251.99	5	1875300
2020-01-08 11:45	252.00	252.78	251.85	252.62	5	993920
2020-01-08 11:50	252.70	252.84	252.60	252.69	5	252090
2020-01-08 11:55	252.69	253.19	252.63	253.09	5	495790
2020-01-08 12:00	253.08	253.50	253.00	253.45	5	744340
2020-01-08 12:05	253.49	253.78	253.49	253.72	5	364460
2020-01-08 12:10	253.71	254.14	253.70	254.09	5	565990
2020-01-08 12:15	254.07	254.15	253.75	254.06	5	260150
2020-01-08 12:20	254.08	254.20	253.97	254.08	5	283090
2020-01-08 12:25	254.08	254.11	253.95	254.02	5	111890
2020-01-08 12:30	254.03	254.22	253.97	254.06	5	184340
2020-01-08 12:35	254.06	254.20	253.98	254.06	5	78460
2020-01-08 12:40	254.06	254.33	254.06	254.20	5	259680
2020-01-08 12:45	254.24	254.34	254.22	254.27	5	92390
2020-01-08 12:50	254.25	254.30	253.95	254.14	5	101350
2020-01-08 12:55	254.14	254.20	254.07	254.14	5	61390
2020-01-08 13:00	254.11	254.12	253.33	253.44	5	347650
2020-01-08 13:05	253.40	253.73	253.29	253.71	5	201750
2020-01-08 13:10	253.65	253.71	253.35	253.41	5	94570
2020-01-08 13:15	253.45	253.84	253.39	253.70	5	120440
2020-01-08 13:20	253.77	254.08	253.52	253.79	5	159490
2020-01-08 13:25	253.82	254.06	253.63	253.71	5	68040
2020-01-08 13:30	253.70	253.86	253.63	253.66	5	59950
2020-01-08 13:35	253.66	253.80	253.51	253.63	5	99200
2020-01-08 13:40	253.68	254.00	253.64	253.97	5	119310
2020-01-08 13:45	254.00	254.24	253.91	254.19	5	352660
2020-01-08 13:50	254.17	254.38	254.00	254.26	5	140560
2020-01-08 13:55	254.26	254.31	254.07	254.30	5	82570
2020-01-08 14:00	254.29	254.46	254.27	254.32	5	139840
2020-01-08 14:05	254.33	254.68	254.26	254.44	5	259350
2020-01-08 14:10	254.42	254.68	254.35	254.63	5	184710
2020-01-08 14:15	254.63	254.65	254.44	254.44	5	106960
2020-01-08 14:20	254.44	254.68	254.37	254.67	5	124800
2020-01-08 14:25	254.68	254.80	254.55	254.71	5	174990
2020-01-08 14:30	254.77	254.93	254.70	254.83	5	450720
2020-01-08 14:35	254.86	254.86	254.33	254.45	5	571350
2020-01-08 14:40	254.46	254.74	254.25	254.35	5	379200
2020-01-08 14:45	254.40	254.40	253.99	254.30	5	282720
2020-01-08 14:50	254.22	254.40	254.18	254.31	5	73540
2020-01-08 14:55	254.31	254.38	254.12	254.30	5	96310
2020-01-08 15:00	254.30	254.30	254.02	254.14	5	97820
2020-01-08 15:05	254.11	254.27	253.94	254.17	5	288300
2020-01-08 15:10	254.25	254.27	254.10	254.17	5	37540
2020-01-08 15:15	254.17	254.43	254.10	254.33	5	154430
2020-01-08 15:20	254.34	254.34	254.14	254.18	5	86190
2020-01-08 15:25	254.18	254.18	254.10	254.18	5	96940
2020-01-08 15:30	254.18	254.18	253.73	253.86	5	373000
2020-01-08 15:35	253.88	254.02	253.66	254.02	5	341870
2020-01-08 15:40	254.04	254.20	254.00	254.13	5	119310
2020-01-08 15:45	254.13	254.19	254.02	254.10	5	72350
2020-01-08 15:50	254.10	254.20	254.06	254.09	5	98570
2020-01-08 15:55	254.05	254.24	253.97	254.19	5	98310
2020-01-08 16:00	254.15	254.41	254.11	254.22	5	111300
2020-01-08 16:05	254.22	254.41	254.20	254.21	5	114270
2020-01-08 16:10	254.21	254.38	254.21	254.27	5	110270
2020-01-08 16:15	254.22	254.22	254.01	254.06	5	182130
2020-01-08 16:20	254.01	254.30	254.01	254.24	5	94100
2020-01-08 16:25	254.29	254.32	254.01	254.01	5	144400
2020-01-08 16:30	254.01	254.26	254.01	254.26	5	131160
2020-01-08 16:35	254.26	254.34	254.15	254.19	5	190920
2020-01-08 16:40	254.19	254.37	254.12	254.33	5	166170
2020-01-08 16:45	254.32	254.32	254.05	254.17	5	230680
2020-01-08 16:50	254.18	254.26	254.01	254.19	5	505260
2020-01-08 16:55	254.20	254.49	254.20	254.26	5	316210
2020-01-08 17:00	254.23	254.73	254.03	254.09	5	585870
2020-01-08 17:05	254.11	254.21	254.07	254.11	5	288190
2020-01-08 17:10	254.15	254.19	253.81	254.03	5	627050
2020-01-08 17:15	254.04	254.16	253.81	253.99	5	291150
2020-01-08 17:20	253.96	254.53	253.96	254.41	5	291310
2020-01-08 17:25	254.48	254.59	254.40	254.52	5	312610
2020-01-08 17:30	254.52	254.60	254.40	254.43	5	200440
2020-01-08 17:35	254.46	254.48	254.20	254.24	5	233530
2020-01-08 17:40	254.27	254.48	254.25	254.39	5	166800
2020-01-08 17:45	254.40	254.50	254.21	254.43	5	287890
2020-01-08 17:50	254.43	254.65	254.39	254.57	5	500000
2020-01-08 17:55	254.07	254.07	254.07	254.07	5	1701300
2020-01-08 18:00	253.99	254.35	253.44	253.50	5	428330
2020-01-08 18:05	253.50	253.53	253.22	253.43	5	308430
2020-01-08 18:10	253.41	253.60	253.28	253.53	5	343090
2020-01-08 18:15	253.60	253.97	253.40	253.81	5	97770
2020-01-08 18:20	253.86	254.08	253.61	253.62	5	234480
2020-01-08 18:25	253.68	253.93	253.51	253.60	5	81500
2020-01-08 18:30	253.60	253.80	253.55	253.65	5	119850
2020-01-08 18:35	253.60	253.66	252.75	253.12	5	427550
2020-01-08 18:40	253.03	253.34	252.90	252.90	5	201260
2020-01-08 18:45	252.89	253.25	252.71	253.09	5	180910
2020-01-08 18:50	253.12	253.38	253.01	253.30	5	133900
2020-01-08 18:55	253.30	253.40	253.11	253.39	5	61620
2020-01-09 10:00	253.28	253.72	253.10	253.38	5	314920
2020-01-09 10:05	253.37	253.38	253.00	253.20	5	155740
