_date_,_close_,_high_,_low_,_open_
2020-01-07 14:30,255.16,255.22,255.06,255.13
2020-01-07 14:35,255.30,255.36,255.07,255.12
2020-01-07 14:40,255.20,255.30,255.08,255.29
2020-01-07 14:45,255.21,255.26,255.14,255.20
2020-01-07 14:50,255.16,255.24,255.13,255.21
2020-01-07 14:55,255.20,255.30,255.10,255.16
2020-01-07 15:00,255.18,255.36,255.13,255.24
2020-01-07 15:05,255.19,255.24,255.10,255.20
2020-01-07 15:10,255.52,255.58,255.19,255.22
2020-01-07 15:15,255.31,255.73,255.31,255.51
2020-01-07 15:20,255.31,255.45,255.24,255.30
2020-01-07 15:25,255.29,255.38,255.23,255.31
2020-01-07 15:30,255.17,255.29,255.08,255.29
2020-01-07 15:35,255.35,255.41,255.10,255.14
2020-01-07 15:40,255.41,255.48,255.30,255.34
2020-01-07 15:45,255.54,255.60,255.40,255.41
2020-01-07 15:50,255.26,255.53,255.15,255.53
2020-01-07 15:55,255.49,255.52,255.26,255.26
2020-01-07 16:00,255.53,255.60,255.39,255.50
2020-01-07 16:05,255.52,255.59,255.44,255.52
2020-01-07 16:10,255.49,255.53,255.43,255.50
2020-01-07 16:15,255.19,255.52,255.08,255.49
2020-01-07 16:20,255.18,255.23,255.14,255.18
2020-01-07 16:25,255.32,255.35,255.16,255.18
2020-01-07 16:30,255.24,255.55,255.17,255.32
2020-01-07 16:35,255.34,255.50,255.20,255.23
2020-01-07 16:40,255.38,255.48,255.35,255.35
2020-01-07 16:45,255.36,255.41,255.30,255.36
2020-01-07 16:50,255.79,255.80,255.33,255.34
2020-01-07 16:55,255.83,255.95,255.75,255.76
2020-01-07 17:00,255.80,255.90,255.63,255.83
2020-01-07 17:05,255.80,255.80,255.66,255.73
2020-01-07 17:10,255.66,255.80,255.54,255.77
2020-01-07 17:15,255.41,255.69,255.27,255.61
2020-01-07 17:20,255.49,255.49,255.37,255.45
2020-01-07 17:25,255.59,255.79,255.49,255.49
2020-01-07 17:30,255.45,255.59,255.34,255.59
2020-01-07 17:35,255.46,255.53,255.34,255.45
2020-01-07 17:40,255.52,255.55,255.39,255.44
2020-01-07 17:45,255.35,255.56,255.31,255.51
2020-01-07 17:50,255.46,255.55,255.36,255.40
2020-01-07 17:55,255.39,255.54,255.38,255.49
2020-01-07 18:00,255.32,255.44,255.25,255.37
2020-01-07 18:05,255.30,255.39,255.26,255.33
2020-01-07 18:10,255.79,255.79,255.79,255.79
2020-01-07 18:15,255.93,256.10,255.33,255.66
2020-01-07 18:20,256.07,256.17,255.75,255.93
2020-01-07 18:25,256.38,256.40,256.04,256.07
2020-01-07 18:30,256.44,256.68,256.32,256.38
2020-01-07 18:35,256.49,256.60,256.25,256.55
2020-01-07 18:40,256.55,256.62,256.33,256.48
2020-01-07 18:45,256.34,256.56,256.19,256.52
2020-01-07 18:50,256.38,256.46,256.22,256.34
2020-01-07 18:55,256.01,256.40,256.01,256.36
2020-01-08 10:00,256.15,256.25,255.87,256.01
2020-01-08 10:05,255.95,256.19,255.87,256.14
2020-01-08 10:10,256.20,256.20,255.87,255.95
2020-01-08 10:15,255.48,256.20,255.11,256.20
