<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;5;20200103;155500;258.5500000;258.8900000;258.5500000;258.7300000;245630
GAZP;5;20200103;160000;258.7200000;258.8800000;258.6300000;258.6700000;143830
GAZP;5;20200103;160500;258.7300000;258.9800000;258.6200000;258.8900000;196370
GAZP;5;20200103;161000;258.8900000;259.0800000;258.8300000;259.0800000;212160
GAZP;5;20200103;161500;259.0700000;259.0700000;258.7600000;258.8400000;128080
GAZP;5;20200103;162000;258.8500000;258.9300000;258.7000000;258.7700000;58560
GAZP;5;20200103;162500;258.8300000;258.9100000;258.6100000;258.6500000;112870
GAZP;5;20200103;163000;258.6400000;258.8000000;258.6100000;258.6200000;84710
GAZP;5;20200103;163500;258.6200000;258.6900000;258.5700000;258.6000000;74260
GAZP;5;20200103;164000;258.6600000;258.7800000;258.5500000;258.7800000;78470
GAZP;5;20200103;164500;258.7800000;258.7800000;258.6000000;258.6100000;125370
GAZP;5;20200103;165000;258.7100000;258.7100000;258.5000000;258.6000000;434640
GAZP;5;20200103;165500;258.5900000;258.6900000;258.4700000;258.6600000;348080
GAZP;5;20200103;170000;258.6600000;258.7700000;258.6200000;258.7300000;92510
GAZP;5;20200103;170500;258.7800000;258.9100000;258.7400000;258.8600000;113300
GAZP;5;20200103;171000;258.8500000;258.8600000;258.5700000;258.5700000;142690
GAZP;5;20200103;171500;258.5700000;258.6500000;258.3400000;258.6000000;243870
GAZP;5;20200103;172000;258.6000000;258.6000000;258.2400000;258.3200000;165280
GAZP;5;20200103;172500;258.3400000;258.4000000;257.7700000;258.0800000;503110
GAZP;5;20200103;173000;258.0800000;258.6100000;258.0500000;258.5600000;252880
GAZP;5;20200103;173500;258.5600000;258.7300000;258.1400000;258.2400000;351590
GAZP;5;20200103;174000;258.2900000;258.7300000;258.2900000;258.6700000;121400
GAZP;5;20200103;174500;258.7300000;259.0000000;258.6700000;258.9300000;236100
GAZP;5;20200103;175000;258.9400000;259.3000000;258.8300000;259.1800000;247210
GAZP;5;20200103;175500;259.1800000;259.5500000;259.1000000;259.5000000;388480
GAZP;5;20200103;180000;259.4500000;259.5500000;259.2300000;259.2300000;531500
GAZP;5;20200103;180500;259.2300000;259.5000000;259.1400000;259.5000000;128010
GAZP;5;20200103;181000;259.5000000;259.5000000;259.3100000;259.4000000;148590
GAZP;5;20200103;181500;259.4400000;259.5000000;259.2900000;259.3200000;138120
GAZP;5;20200103;182000;259.2900000;259.3800000;258.9300000;259.2500000;762570
GAZP;5;20200103;182500;259.2500000;259.2500000;258.7700000;258.8000000;282640
GAZP;5;20200103;183000;258.8000000;258.8900000;258.6000000;258.6700000;426390
GAZP;5;20200103;183500;258.6700000;258.8400000;258.5000000;258.5800000;564680
GAZP;5;20200103;184500;259.0000000;259.0000000;259.0000000;259.0000000;2327070
GAZP;5;20200106;100000;258.9100000;258.9600000;256.6600000;256.8000000;1485420
GAZP;5;20200106;100500;256.8800000;257.3400000;256.0700000;256.3600000;1389700
GAZP;5;20200106;101000;256.3000000;256.9300000;256.0000000;256.4600000;1881580
GAZP;5;20200106;101500;256.4500000;256.6900000;256.3000000;256.6900000;161320
GAZP;5;20200106;102000;256.6900000;256.7500000;256.2800000;256.3100000;282030
GAZP;5;20200106;102500;256.3100000;256.4400000;256.0600000;256.2100000;287790
GAZP;5;20200106;103000;256.1900000;256.4800000;256.0600000;256.2800000;143560
GAZP;5;20200106;103500;256.3700000;256.7800000;256.2800000;256.5700000;222350
GAZP;5;20200106;104000;256.5600000;256.6300000;256.3300000;256.5000000;92750
GAZP;5;20200106;104500;256.5200000;256.7100000;256.3300000;256.7100000;87980
GAZP;5;20200106;105000;256.7100000;257.0900000;256.5700000;256.9100000;162010
GAZP;5;20200106;105500;256.9100000;257.3400000;256.5600000;256.5700000;224990
GAZP;5;20200106;110000;256.6600000;257.2100000;256.5600000;256.9600000;283990
GAZP;5;20200106;110500;257.0000000;257.1900000;256.6600000;257.1500000;153300
GAZP;5;20200106;111000;257.0900000;257.5500000;257.0000000;257.0300000;345000
GAZP;5;20200106;111500;257.0300000;257.3000000;256.8700000;257.1700000;204040
GAZP;5;20200106;112000;257.2900000;257.5600000;257.2200000;257.5400000;178670
GAZP;5;20200106;112500;257.5300000;257.5600000;257.0100000;257.2000000;162420
GAZP;5;20200106;113000;257.2000000;257.3200000;256.8200000;256.8200000;442290
GAZP;5;20200106;113500;256.8900000;257.0500000;256.5000000;256.5300000;359650
GAZP;5;20200106;114000;256.5400000;256.5700000;256.3000000;256.5100000;379940
GAZP;5;20200106;114500;256.4900000;256.6300000;256.3000000;256.3000000;503310
GAZP;5;20200106;115000;256.3800000;256.3800000;256.0100000;256.0900000;724110
GAZP;5;20200106;115500;256.0900000;256.3100000;256.0100000;256.1600000;280880
GAZP;5;20200106;120000;256.1100000;256.3000000;256.0400000;256.2900000;100500
GAZP;5;20200106;120500;256.2900000;256.2900000;256.0200000;256.0500000;149550
GAZP;5;20200106;121000;256.0300000;256.2400000;255.9000000;256.1800000;769110
GAZP;5;20200106;121500;256.1800000;256.3400000;256.0800000;256.2100000;93600
GAZP;5;20200106;122000;256.2100000;256.2500000;255.8000000;255.9800000;282740
GAZP;5;20200106;122500;255.9900000;255.9900000;255.5700000;255.7000000;486410
GAZP;5;20200106;123000;255.7000000;255.8000000;255.5000000;255.6500000;340390
GAZP;5;20200106;123500;255.6500000;255.7000000;255.4200000;255.7000000;369600
GAZP;5;20200106;124000;255.6700000;256.0500000;255.5500000;256.0400000;200360
GAZP;5;20200106;124500;255.9900000;256.0500000;255.8500000;256.0500000;134670
GAZP;5;20200106;125000;256.0500000;256.4400000;256.0000000;256.2800000;290620
GAZP;5;20200106;125500;256.2200000;256.3000000;256.0500000;256.0500000;272910
GAZP;5;20200106;130000;256.0600000;256.2300000;256.0200000;256.1300000;123530
GAZP;5;20200106;130500;256.0700000;256.0700000;255.7500000;255.9200000;218420
GAZP;5;20200106;131000;256.0000000;256.0900000;255.8800000;255.9100000;83320
GAZP;5;20200106;131500;255.9000000;255.9700000;255.6700000;255.8500000;97740
GAZP;5;20200106;132000;255.8500000;255.9200000;255.7000000;255.8700000;90460
GAZP;5;20200106;132500;255.8800000;256.0500000;255.8000000;255.9300000;118130
GAZP;5;20200106;133000;255.9300000;256.0500000;255.8700000;255.8800000;101190
GAZP;5;20200106;133500;255.9600000;256.0000000;255.8300000;255.9100000;33550
GAZP;5;20200106;134000;255.9400000;256.0500000;255.8700000;255.9800000;57920
GAZP;5;20200106;134500;255.9800000;256.0000000;255.7600000;255.7900000;80540
GAZP;5;20200106;135000;255.7900000;255.8800000;255.7500000;255.8800000;44230
GAZP;5;20200106;135500;255.8200000;255.9000000;255.7100000;255.8100000;71970
GAZP;5;20200106;140000;255.8700000;255.9400000;255.8200000;255.8900000;44390
GAZP;5;20200106;140500;255.8200000;255.8900000;255.5800000;255.7900000;231350
GAZP;5;20200106;141000;255.7900000;255.8400000;255.5500000;255.6600000;141190
GAZP;5;20200106;141500;255.7600000;255.8900000;255.6600000;255.8900000;58620
GAZP;5;20200106;142000;255.8900000;256.0500000;255.8400000;256.0500000;143090
GAZP;5;20200106;142500;256.0500000;256.2500000;255.8700000;255.9600000;157710
GAZP;5;20200106;143000;255.9700000;255.9700000;255.8700000;255.8900000;6020
GAZP;5;20200106;143500;255.8700000;256.1200000;255.8700000;256.0600000;145900
GAZP;5;20200106;144000;256.0600000;256.3300000;256.0600000;256.3300000;83280
GAZP;5;20200106;144500;256.3300000;256.3300000;256.0600000;256.1600000;38570
GAZP;5;20200106;145000;256.1000000;256.4300000;256.1000000;256.3100000;86770
GAZP;5;20200106;145500;256.3400000;256.3800000;256.1100000;256.1100000;106630
GAZP;5;20200106;150000;256.1500000;256.1500000;255.8600000;255.9100000;175910
GAZP;5;20200106;150500;255.9100000;255.9900000;255.8100000;255.8800000;243520
GAZP;5;20200106;151000;255.8700000;255.8700000;255.5500000;255.7100000;210070
GAZP;5;20200106;151500;255.7400000;255.9100000;255.5500000;255.5500000;206820
GAZP;5;20200106;152000;255.5500000;255.6800000;255.5300000;255.5700000;224790
GAZP;5;20200106;152500;255.5700000;255.7000000;255.5400000;255.5600000;57850
GAZP;5;20200106;153000;255.5600000;255.7000000;255.3200000;255.6500000;344600
GAZP;5;20200106;153500;255.6500000;255.8200000;255.6100000;255.6100000;76270
GAZP;5;20200106;154000;255.6300000;255.8200000;255.5500000;255.7300000;220620
GAZP;5;20200106;154500;255.7300000;255.7700000;255.1500000;255.2300000;310160
GAZP;5;20200106;155000;255.2300000;255.2600000;255.0100000;255.2400000;505210
GAZP;5;20200106;155500;255.2100000;255.3000000;255.0400000;255.0500000;291380
GAZP;5;20200106;160000;255.0800000;255.2400000;254.9200000;255.0800000;559800
GAZP;5;20200106;160500;255.0800000;255.3000000;255.0500000;255.1200000;91860
GAZP;5;20200106;161000;255.1300000;255.1600000;254.9100000;254.9200000;217300
GAZP;5;20200106;161500;254.9100000;255.1500000;254.8000000;255.0300000;478020
GAZP;5;20200106;162000;255.0600000;255.0800000;254.8500000;254.9500000;89160
GAZP;5;20200106;162500;254.9300000;255.1600000;254.9000000;255.1000000;80650
GAZP;5;20200106;163000;255.0900000;255.2700000;255.0500000;255.1700000;133740
GAZP;5;20200106;163500;255.2000000;255.2000000;255.0100000;255.0200000;118810
GAZP;5;20200106;164000;255.0900000;255.1500000;255.0100000;255.1100000;59890
GAZP;5;20200106;164500;255.1400000;255.2800000;255.1000000;255.2000000;232140
GAZP;5;20200106;165000;255.1900000;255.3000000;255.0900000;255.1000000;288690
GAZP;5;20200106;165500;255.0800000;255.2400000;255.0300000;255.2000000;90220
GAZP;5;20200106;170000;255.1700000;255.1700000;254.9500000;255.0600000;537490
GAZP;5;20200106;170500;255.0600000;255.0900000;255.0000000;255.0600000;113930
GAZP;5;20200106;171000;255.0600000;255.0900000;254.9500000;255.0000000;252300
GAZP;5;20200106;171500;255.0700000;255.0700000;254.9600000;255.0500000;90830
GAZP;5;20200106;172000;255.0600000;255.2000000;254.9500000;254.9800000;237880
GAZP;5;20200106;172500;254.9700000;255.1400000;254.9500000;255.0900000;83640
GAZP;5;20200106;173000;255.1000000;255.1900000;255.0400000;255.1000000;96010
GAZP;5;20200106;173500;255.1000000;255.2000000;255.0400000;255.2000000;77080
GAZP;5;20200106;174000;255.1500000;255.5900000;255.1000000;255.3500000;381750
GAZP;5;20200106;174500;255.4000000;255.5100000;255.3000000;255.3600000;121820
GAZP;5;20200106;175000;255.3800000;255.9900000;255.3600000;255.8300000;391770
GAZP;5;20200106;175500;255.8200000;255.8200000;255.4600000;255.6900000;151580
GAZP;5;20200106;180000;255.7100000;256.0000000;255.6800000;255.9300000;238550
GAZP;5;20200106;180500;255.9100000;255.9600000;255.8400000;255.9100000;97390
